id,nombre,marca,categoria,precio_mxn,stock,descripcion,imagen_url
29,Fender Blues Junior Series 458,Fender,Amplificadores,40889.99,17,"Amplificador con tono cálido y controles intuitivos, ideal tanto para ensayo como para conciertos. Modelo Blues Junior en color rojo cereza, con acabado series.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Amplificadores&font=roboto
30,Fender CD-60S Plus 75,Fender,Guitarras Acústicas,13459.99,19,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo CD-60S en color azul océano, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Acústicas&font=roboto
31,Fender Jazzmaster Plus 235,Fender,Guitarras Eléctricas,9619.99,20,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Jazzmaster en color transparente, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Eléctricas&font=roboto
32,Fender Jazz Bass Plus 937,Fender,Bajos Eléctricos,11889.99,15,"Bajo eléctrico con gran proyección de graves y ergonomía pensada para largas sesiones de tocada. Modelo Jazz Bass en color sunburst, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Bajos+Eléctricos&font=roboto
33,Fender Champion Plus 695,Fender,Amplificadores,23909.99,18,"Amplificador con tono cálido y controles intuitivos, ideal tanto para ensayo como para conciertos. Modelo Champion en color natural, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Amplificadores&font=roboto
34,Fender Sonoran SE 813,Fender,Guitarras Acústicas,16829.99,16,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo Sonoran en color azul océano, con acabado se.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Acústicas&font=roboto
35,Fender Telecaster Special 684,Fender,Guitarras Eléctricas,46079.99,16,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Telecaster en color sunburst, con acabado special.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Guitarras+Eléctricas&font=roboto
36,Fender Precision Bass X 699,Fender,Bajos Eléctricos,49209.99,20,"Bajo eléctrico con gran proyección de graves y ergonomía pensada para largas sesiones de tocada. Modelo Precision Bass en color negro, con acabado x.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Fender+Bajos+Eléctricos&font=roboto
37,Gibson Les Paul Standard Standard 755,Gibson,Guitarras Eléctricas,67419.99,11,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Les Paul Standard en color gris metálico, con acabado standard.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
38,Gibson Hummingbird II 559,Gibson,Guitarras Acústicas,64869.99,16,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo Hummingbird en color azul océano, con acabado ii.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
39,Gibson Les Paul Studio Signature 265,Gibson,Guitarras Eléctricas,134319.99,11,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Les Paul Studio en color dorado, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
40,Gibson L-00 Special 677,Gibson,Guitarras Acústicas,119929.99,10,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo L-00 en color negro, con acabado special.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
41,Gibson Les Paul Standard Plus 426,Gibson,Guitarras Eléctricas,85709.99,13,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Les Paul Standard en color blanco perla, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
42,Gibson L-00 Standard 398,Gibson,Guitarras Acústicas,20219.99,16,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo L-00 en color blanco perla, con acabado standard.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
43,Gibson SG Standard X 443,Gibson,Guitarras Eléctricas,112079.99,18,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo SG Standard en color natural, con acabado x.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
44,Gibson L-00 Elite 313,Gibson,Guitarras Acústicas,41779.99,10,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo L-00 en color azul océano, con acabado elite.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
45,Gibson Les Paul Custom Standard 68,Gibson,Guitarras Eléctricas,31269.99,17,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Les Paul Custom en color rojo cereza, con acabado standard.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
46,Gibson Hummingbird Standard 92,Gibson,Guitarras Acústicas,105139.99,11,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo Hummingbird en color vino, con acabado standard.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
47,Gibson Les Paul Custom Custom 423,Gibson,Guitarras Eléctricas,39989.99,19,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Les Paul Custom en color azul océano, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
48,Gibson Hummingbird Standard 93,Gibson,Guitarras Acústicas,61929.99,19,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo Hummingbird en color transparente, con acabado standard.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
49,Gibson Les Paul Custom Deluxe 219,Gibson,Guitarras Eléctricas,108719.99,15,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo Les Paul Custom en color natural, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
50,Gibson Hummingbird Signature 144,Gibson,Guitarras Acústicas,87169.99,14,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo Hummingbird en color gris metálico, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
51,Gibson ES-335 Deluxe 19,Gibson,Guitarras Eléctricas,82289.99,19,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo ES-335 en color sunburst, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
52,Gibson J-45 Custom 228,Gibson,Guitarras Acústicas,70589.99,12,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo J-45 en color vino, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
53,Gibson SG Standard Custom 388,Gibson,Guitarras Eléctricas,60629.99,17,"Guitarra eléctrica con pastillas de alta definición y acabado premium, pensada para escenarios exigentes. Modelo SG Standard en color azul océano, con acabado custom.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Eléctricas&font=roboto
54,Gibson J-200 Pro 316,Gibson,Guitarras Acústicas,113179.99,11,"Guitarra acústica con cuerpo resonante y acabado cuidado, perfecta para grabación y presentaciones en vivo. Modelo J-200 en color vino, con acabado pro.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Gibson+Guitarras+Acústicas&font=roboto
55,Roland Juno Signature 921,Roland,Sintetizadores,13569.99,18,"Sintetizador con motor de sonido versátil, ideal para producción musical moderna y presentaciones en vivo. Modelo Juno en color sunburst, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Sintetizadores&font=roboto
56,Roland TD-27 Signature 629,Roland,Baterías Electrónicas,20799.99,15,"Batería electrónica con parches sensibles y módulo de sonidos editables para práctica silenciosa o en vivo. Modelo TD-27 en color natural, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Baterías+Electrónicas&font=roboto
57,Roland GO:KEYS Signature 510,Roland,Teclados,13789.99,10,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo GO:KEYS en color vino, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Teclados&font=roboto
58,Roland AIRA Edition 55,Roland,Audio,2069.99,12,"Equipo de audio profesional pensado para monitoreo y grabación con fidelidad de estudio. Modelo AIRA en color natural, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Audio&font=roboto
59,Roland Fantom Classic 574,Roland,Sintetizadores,44699.99,18,"Sintetizador con motor de sonido versátil, ideal para producción musical moderna y presentaciones en vivo. Modelo Fantom en color dorado, con acabado classic.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Sintetizadores&font=roboto
60,Roland TD-17 Special 977,Roland,Baterías Electrónicas,58459.99,12,"Batería electrónica con parches sensibles y módulo de sonidos editables para práctica silenciosa o en vivo. Modelo TD-17 en color sunburst, con acabado special.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Baterías+Electrónicas&font=roboto
61,Roland FP-30X Studio 575,Roland,Teclados,10189.99,12,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo FP-30X en color transparente, con acabado studio.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Teclados&font=roboto
62,Roland AIRA Vintage 930,Roland,Audio,18799.99,10,"Equipo de audio profesional pensado para monitoreo y grabación con fidelidad de estudio. Modelo AIRA en color rojo cereza, con acabado vintage.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Audio&font=roboto
63,Roland Fantom II 692,Roland,Sintetizadores,13349.99,18,"Sintetizador con motor de sonido versátil, ideal para producción musical moderna y presentaciones en vivo. Modelo Fantom en color azul océano, con acabado ii.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Sintetizadores&font=roboto
64,Roland SPD-SX Elite 895,Roland,Baterías Electrónicas,18109.99,12,"Batería electrónica con parches sensibles y módulo de sonidos editables para práctica silenciosa o en vivo. Modelo SPD-SX en color azul océano, con acabado elite.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Baterías+Electrónicas&font=roboto
65,Roland Juno-DS Pro 764,Roland,Teclados,37359.99,16,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo Juno-DS en color blanco perla, con acabado pro.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Teclados&font=roboto
66,Roland Rubix Signature 816,Roland,Audio,14629.99,16,"Equipo de audio profesional pensado para monitoreo y grabación con fidelidad de estudio. Modelo Rubix en color blanco perla, con acabado signature.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Audio&font=roboto
67,Roland Jupiter SE 214,Roland,Sintetizadores,50469.99,17,"Sintetizador con motor de sonido versátil, ideal para producción musical moderna y presentaciones en vivo. Modelo Jupiter en color azul océano, con acabado se.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Sintetizadores&font=roboto
68,Roland V-Drums Vintage 238,Roland,Baterías Electrónicas,10329.99,13,"Batería electrónica con parches sensibles y módulo de sonidos editables para práctica silenciosa o en vivo. Modelo V-Drums en color azul océano, con acabado vintage.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Baterías+Electrónicas&font=roboto
69,Roland Juno-DS Deluxe 895,Roland,Teclados,7429.99,14,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo Juno-DS en color natural, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Teclados&font=roboto
70,Roland Duo-Capture Series 349,Roland,Audio,18909.99,11,"Equipo de audio profesional pensado para monitoreo y grabación con fidelidad de estudio. Modelo Duo-Capture en color vino, con acabado series.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Audio&font=roboto
71,Roland Fantom Classic 995,Roland,Sintetizadores,59149.99,10,"Sintetizador con motor de sonido versátil, ideal para producción musical moderna y presentaciones en vivo. Modelo Fantom en color transparente, con acabado classic.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Sintetizadores&font=roboto
72,Roland TD-17 Edition 756,Roland,Baterías Electrónicas,53039.99,16,"Batería electrónica con parches sensibles y módulo de sonidos editables para práctica silenciosa o en vivo. Modelo TD-17 en color rojo cereza, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Roland+Baterías+Electrónicas&font=roboto
73,Steinway Boston Special 931,Steinway & Sons,Pianos,1186059.99,14,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Boston en color gris metálico, con acabado special.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
74,Steinway Model B Edition 542,Steinway & Sons,Pianos,1692089.99,18,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model B en color negro, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
75,Steinway Essex II 451,Steinway & Sons,Pianos,451469.99,20,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Essex en color rojo cereza, con acabado ii.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
76,Steinway Model O Deluxe 747,Steinway & Sons,Pianos,1655069.99,18,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model O en color sunburst, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
77,Steinway Model O Edition 422,Steinway & Sons,Pianos,1360959.99,18,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model O en color rojo cereza, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
78,Steinway Model D II 690,Steinway & Sons,Pianos,1713529.99,20,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model D en color gris metálico, con acabado ii.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
79,Steinway Essex Classic 592,Steinway & Sons,Pianos,786379.99,18,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Essex en color transparente, con acabado classic.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
80,Steinway Model B Vintage 225,Steinway & Sons,Pianos,973339.99,19,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model B en color natural, con acabado vintage.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
81,Steinway Boston Deluxe 462,Steinway & Sons,Pianos,991139.99,13,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Boston en color dorado, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
82,Steinway Boston SE 684,Steinway & Sons,Pianos,472959.99,18,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Boston en color blanco perla, con acabado se.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
83,Steinway Essex Deluxe 848,Steinway & Sons,Pianos,1730399.99,13,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Essex en color sunburst, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
84,Steinway Essex Vintage 835,Steinway & Sons,Pianos,638739.99,10,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Essex en color azul océano, con acabado vintage.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
85,Steinway Model B Plus 635,Steinway & Sons,Pianos,1582119.99,11,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model B en color dorado, con acabado plus.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
86,Steinway Model M Edition 209,Steinway & Sons,Pianos,1391609.99,16,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model M en color transparente, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
87,Steinway Model M Series 161,Steinway & Sons,Pianos,1301289.99,10,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model M en color azul océano, con acabado series.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
88,Steinway Model B Edition 190,Steinway & Sons,Pianos,1515959.99,18,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model B en color azul océano, con acabado edition.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
89,Steinway Model M Standard 265,Steinway & Sons,Pianos,1680339.99,11,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model M en color vino, con acabado standard.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
90,Steinway Model M Elite 693,Steinway & Sons,Pianos,1120149.99,18,"Piano de calidad profesional con mecanismo de acción refinado, ideal para intérpretes exigentes y espacios de concierto o estudio. Modelo Model M en color dorado, con acabado elite.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Steinway+Pianos&font=roboto
91,Casio SA- Deluxe 637,Casio,Teclados,15139.99,18,"Teclado versátil con amplia biblioteca de sonidos, ideal para práctica, composición y presentaciones en vivo. Modelo SA- en color dorado, con acabado deluxe.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Casio+Teclados&font=roboto
92,Casio CDP-S X 771,Casio,Pianos Digitales,30989.99,17,"Piano digital con teclas contrapesadas y sonido de piano acústico muestreado en alta resolución. Modelo CDP-S en color blanco perla, con acabado x.",https://placehold.co/500x500/1a1a1a/ffffff/png?text=Casio+Pianos+Digitales&font=roboto
